id,area,category,product,generic,company,use,dosage,status,remarks,source,last_reviewed
1,Disease Control,Antibiotics,Example antibacterial record,Active ingredient to be inserted,Company to be verified,Bacterial disease only after appropriate veterinary assessment,Verify current Indian label,Sample - replace,Demonstration record only,Book Chapter 1,2026-09
2,Disease Control,Antimycoplasma Products,Example antimycoplasma record,Composition to be inserted,Company to be verified,Mycoplasma control within an integrated flock programme,Verify current Indian label,Sample - replace,Medication may reduce signs but may not eliminate carrier status,Book Chapter 2,2026-09
3,Disease Control,Anticoccidials,Example anticoccidial record,Composition to be inserted,Company to be verified,Coccidiosis prevention or treatment according to programme,Verify current Indian label,Sample - replace,Review complete feed-medication programme,Book Chapter 3,2026-09
4,Disease Control,Dewormers,Example anthelmintic record,Composition to be inserted,Company to be verified,Internal parasite control based on flock risk,Verify current Indian label,Sample - replace,Confirm species and withdrawal requirements,Book Chapter 4,2026-09
5,Intestinal Health,Acidifiers,Example acidifier record,Organic-acid composition to be inserted,Company to be verified,Feed or water acidification within a defined programme,Verify current label,Sample - replace,Monitor water intake and equipment compatibility,Book Chapter 6,2026-09
6,Intestinal Health,Probiotics Prebiotics & Synbiotics,Example microbiome-support record,Microbial strains or substrates to be inserted,Company to be verified,Gut microbial support,Follow current manufacturer directions,Sample - replace,Strain identity and viable count are important,Book Chapter 7,2026-09
7,Nutrition,Vitamin Supplements,Example vitamin supplement,Vitamin composition to be inserted,Company to be verified,Correction or prevention of demonstrated nutritional inadequacy,Follow current manufacturer directions,Sample - replace,Review the complete ration before supplementation,Book Chapter 9,2026-09
8,Nutrition,Mineral Supplements,Example mineral mixture,Mineral composition to be inserted,Company to be verified,Nutritional support based on ration assessment,Follow current manufacturer directions,Sample - replace,More supplementation is not automatically better,Book Chapter 10,2026-09
9,Nutrition,Electrolytes,Example electrolyte formulation,Electrolyte composition to be inserted,Company to be verified,Support during defined stress or fluid imbalance,Follow current manufacturer directions,Sample - replace,Identify and correct the underlying cause,Book Chapter 13,2026-09
10,Metabolic Health,Toxin Binders,Example toxin-binder record,Binding components to be inserted,Company to be verified,Mycotoxin-risk management as part of feed-quality control,Follow current manufacturer directions,Sample - replace,A binder does not prove mycotoxicosis,Book Chapter 14,2026-09
11,Nutrient Utilisation,Enzyme Supplements,Example feed-enzyme record,Enzyme activities to be inserted,Company to be verified,Nutrient utilisation in a correctly formulated ration,Follow current manufacturer directions,Sample - replace,Match enzyme to substrate and feed formulation,Book Chapter 19,2026-09
12,Botanicals,Phytogenics,Example phytogenic record,Botanical composition to be inserted,Company to be verified,Functional botanical support with a defined objective,Follow current manufacturer directions,Sample - replace,Check standardisation and evidence,Book Chapter 22,2026-09
13,Biosecurity,Disinfectants,Example disinfectant record,Active chemical to be inserted,Company to be verified,Cleaned poultry premises and equipment,Verify dilution and contact time,Sample - replace,Use PPE and never casually mix chemicals,Book Chapter 26,2026-09
14,Vaccines & Diagnostics,Poultry Vaccines,Example vaccine record,Vaccine identity and strain to be inserted,Manufacturer or institution to be verified,Disease prevention within an approved vaccination programme,Verify route schedule and current label,Sample - replace,Protect cold-chain and reconstitution integrity,Book Chapter 29,2026-09
15,Vaccines & Diagnostics,Poultry Diagnostics,Example diagnostic record,Method or kit to be inserted,Provider or institution to be verified,Detection monitoring or confirmation interpreted with flock evidence,Follow laboratory sampling protocol,Sample - replace,A test result is not a diagnosis by itself,Book Chapter 30,2026-09
